,Exclude?,Race,Open  = 0; Closed =1,State prison Prison?,Probation,County Prison,Dismissal?,Prison in months,664-187 alleged?,12022.53(d) alleged,"Convicted of 664-187? 0 = no, 1 = yes","245(a)(2), (a)(3), or(b)  gun conviction","If convicted, 1=plea, 2=JT
0 = dismissal or pending
3 = acquittal","Someone shot? (0=no, 1=yes)",Docket,Defendant
0,,O,1,0.0,0.0,,1.0,0.0,1,1,0.0, ,0.0,1,122cd872-f5f8-4298-85c4-47efde7b9c9b,3147262b-f208-4a28-8b75-d2e3922f84b0
1,,B,1,1.0,0.0,,0.0,212.0,1,1,1.0,0,1.0,1,3efa71ce-dc31-4806-8beb-815a241ed932,b3d208d0-68c7-4a39-80bf-22a7a3ff2e1e
2,,H,0,,,,,,1,1,,0,0.0,1,d46edc89-feb8-42b6-a6bd-5110e8f197b5,88955683-d796-4ffc-973b-ebc45e54ad80
3,,B,1,0.0,1.0,,0.0,0.0,0,0,0.0,1,1.0,1,05c12a31-a9d7-4e8c-a257-2b130bb23ed6,5cb41de8-121a-49d3-bbbf-dff284eccaf6
4,,B,0,,,,,,1,1,,0,0.0,1,f14ffafe-75fa-4d15-99a0-0203f45bb611,1fbf1f0c-0b85-43e7-ad66-7c9e3d2c20d8
5,,W,1,0.0,1.0,,0.0,0.0,1,1,0.0,0,1.0,1,85e66603-cb88-4701-bc1e-6f725eecec3b,994b5e5e-4d3a-47c3-b2b9-3040fa27452b
6,,B,1,1.0,0.0,,0.0,180.0,1,1,0.0,1,1.0,1,edafd755-5e3f-4777-8620-e6c0fde7f87c,efab7769-0d98-4583-8b18-3aaa156159b8
7,,H,1,1.0,0.0,,0.0,120.0,1,1,1.0,0,1.0,1,3d29ad7b-d613-4b20-976f-440990f4ed02,693b75ce-f6be-49fd-97c9-cd00b22fe893
8,,B,1,1.0,0.0,,0.0,120.0,1,1,0.0,1,1.0,1,f497a2b9-55b9-42dc-a89a-d35417f042c6,d796eaa6-2954-4a89-b576-ee21f9358831
9,,H,0,,,,,,1,1,,0,0.0,1,cd0518e9-1647-4f29-8292-70ab2df6ec23,507d965c-2a21-4f8f-af0a-a2518831ece0
10,,B,1,0.0,0.0,,1.0,0.0,0,0,0.0,0,3.0,1,6c3824dc-371f-4dbe-85e7-cf68bd9d6e46,b5caec37-2af2-4f54-9e57-29e80336ba79
11,1.0,B,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,0,b26899bb-6a57-4406-8c7a-8df7231e0b00,eed4ab33-db17-40bd-badd-f2176af506c1
12,,B,1,1.0,0.0,,0.0,108.0,1,1,1.0,0,1.0,1,e0fb0ac7-dc04-4063-a4b1-69376ab59fa6,2b938025-dfc4-4f5c-9244-e4a56bfe162c
13,,B,1,1.0,0.0,,0.0,104.0,0,1,0.0,1,1.0,1,b6d0630e-2097-4d70-a226-e4e81a1f2267,ad09cc5a-dcb4-40fc-a109-ecb80eefcdb0
14,,W,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,b42202b5-1afd-4581-b50f-565b4f807def,43ca16fb-55e8-4c82-ada3-39762bb1aee4
15,,B,1,0.0,0.0,,1.0,0.0,0,0,0.0,0,0.0,1,2ff87a2b-7f05-4c9c-a4bb-14ab318e35e8,d540280f-3a71-47e8-a88e-30ef1da3670b
16,,H,1,1.0,0.0,,0.0,300.0,1,1,1.0,0,1.0,1,977d3a6f-da01-4728-942d-de0972ab3a25,109cb940-3479-4e1f-afac-f56615e0dcd0
17,,H,1,1.0,0.0,,0.0,180.0,1,1,1.0,0,1.0,1,4e3cd24f-5eb5-460b-92e5-22b79eab1399,0c83b664-59a0-45dd-a251-0acc8174557d
18,,B,1,1.0,0.0,0.0,0.0,204.0,1,1,0.0,1,2.0,1,4f9f6361-2af5-4c65-a487-605b200c5250,41b9a6d0-7918-472f-ab6a-cd5208d9c1c0
19,,B,0,,,,,,1,1,,,0.0,1,21b7ed6e-1a5d-4c3d-883d-74ce098e1f39,5652fb42-32ce-4b26-8964-718a9975c430
20,1.0,B,1,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0,0.0,1,ca4f041b-1dc8-4fc6-935e-6a48a6f26da5,aae3de8f-c9c4-458e-b767-4c434016f9c2
21,,W,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,4ddd1404-0bd4-48db-997b-20281c647302,87b44619-a64c-4a43-8c15-141f755f3cb5
22,,H,1,1.0,0.0,,0.0,32.0,1,1,0.0,0,1.0,1,77969311-b5db-4de8-ae6d-0cd22bdaec15,1a7e1711-0c05-4ebc-9466-862f0fbbfb41
23,,B,1,0.0,0.0,,1.0,0.0,0,0,0.0,0,0.0,1,db24dafc-b2ca-48b8-af69-5ff88b4ce5e6,a4951b6b-addc-4dd7-ab4b-b13f2f6633f3
24,,B,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,1b39400f-fadf-4010-a5fe-f2a17bbe8999,a4951b6b-addc-4dd7-ab4b-b13f2f6633f3
25,,W,1,0.0,1.0,,0.0,0.0,0,0,0.0,1,1.0,1,9bff49e5-4296-4753-bf88-737efba80923,ba95b9a1-0318-4dde-a3b7-f66dbac3fea6
26,,B,1,0.0,0.0,1.0,0.0,24.0,0,0,0.0,0,1.0,1,8a6a42a0-e955-411b-be7f-c19990727433,233afcd3-e336-4f17-b980-7487f2ad245d
27,,W,1,1.0,0.0,,0.0,16.0,1,1,0.0,0,1.0,1,19a6d403-ffc2-4b5d-9ca0-dd7a31c485cf,a9d354c6-9170-4486-9173-a7d17809356d
28,,B,1,1.0,0.0,,0.0,144.0,1,1,0.0,1,1.0,1,c8bdc3dd-2cf8-4531-9028-997c20fa1364,f325b621-de77-48a5-9da2-4521e071dc32
29,,W,1,1.0,0.0,,0.0,24.0,0,0,0.0,0,1.0,1,bbcd4bc9-e34c-400e-8253-6e4ef107bbf7,a708937a-ee01-4129-a2e9-154273b45031
30,,A,1,0.0,1.0,,0.0,0.0,0,0,0.0,0,1.0,1,1c5ac265-8e8c-43ff-a949-6e00a30ad4fd,f6ba442e-6f6d-4811-b58d-3821fc6c0d59
31,,W,1,0.0,0.0,,1.0,0.0,1,1,0.0,0,0.0,1,05d52d35-fb58-40d0-9485-856f03edf111,ed8b7c30-a31c-4a83-8f33-f9d88d49e7f5
32,,B,0,,,,,,1,1,0.0,0,0.0,1,937c82a2-a1be-4294-bf3d-9a9e3f59c024,ff0b1694-8a58-4722-b645-2162999baf3e
33,,B,1,0.0,0.0,,1.0,0.0,0,0,0.0,0,0.0,1,0ecf751b-66a6-4684-b8a0-2a9b9131a8d6,244782ee-6ee5-4132-9a4f-0f1d3e0715c5
34,,W,1,1.0,0.0,,0.0,32.0,1,1,0.0,1,1.0,1,404b6265-14d2-4450-ac25-11de07bb6617,03b0314b-f018-4529-b906-eb12ff9d830d
35,,B,1,1.0,0.0,,0.0,236.0,1,1,1.0,0,1.0,1,f31d364a-da79-4e0f-987f-5a11470ec0da,271c5ce6-7c48-4577-aa8b-38045ddab5c6
36,,B,1,1.0,0.0,,0.0,156.0,1,1,1.0,1,1.0,1,a51f61fa-6bae-4467-831e-5deea17a139f,c0ee4eaf-bfbe-4c7f-9d9b-c44e6abc9b3b
37,1.0,H,1,1.0,0.0,,0.0,32.0,0,0,0.0,0,1.0,0,ed6e49d5-85eb-4eaa-b894-3d97b8cda9ef,8c80a74b-d2da-4a3a-9a22-fcaed334d949
38,,H,1,1.0,0.0,,0.0,24.0,1,1,0.0,1,1.0,1,1e5a4530-a594-43ec-be3b-f56b614a8ee0,151a26a8-bede-4b40-a389-e2963c218dfe
39,,B,0,,,,,,1,1,0.0,0,0.0,1,ae38a45f-7001-49d2-81d4-c144c6103433,23e4a6e7-e226-4331-bfcf-f4dcc2c24d6e
40,,H,1,1.0,0.0,,0.0,180.0,1,1,1.0,0,1.0,1,4e3cd24f-5eb5-460b-92e5-22b79eab1399,68ab6dc9-5ff6-4a40-ada9-10bfbba6f207
41,,O,1,0.0,1.0,,0.0,0.0,1,1,0.0,0,1.0,1,9a9dbd3d-8554-4027-8810-85766a554edd,23bab924-b6ae-4340-97ca-ea098cd0e755
42,,H,1,1.0,0.0,,0.0,180.0,1,1,0.0,1,1.0,1,e133accf-5b16-477d-b6e7-a34576a1f458,1d45304c-00e9-41a8-b178-02159a8124f2
43,,W,1,1.0,0.0,,0.0,72.0,0,0,0.0,1,2.0,1,9b8942b4-06f1-4e49-b318-81add70779ab,9f6d5d17-5260-42b2-a84e-28ecfe9d3c5b
44,,O,1,0.0,0.0,,1.0,0.0,1,1,0.0,0,0.0,1,43e11db9-a358-4129-9bd6-abe450965908,b910b53e-b368-4a8e-a868-c28791e38288
45,1.0,B,0,,,,,,0,0,0.0,0,0.0,0,8e5a6ad1-862c-4ba5-a2d4-bd8a00b13a46,5b3df25a-47a2-4f5d-9dcc-eb69cab9db1e
46,,W,1,1.0,0.0,,0.0,180.0,1,1,0.0,1,2.0,1,839cb0e0-13c0-453d-bc99-a661c8844ac9,8d9a5845-465a-48a2-a636-e260481797a5
